timestamp[ns],x[m/s^2],y[m/s^2],z[m/s^2]
865506816942013,8.025609,-1.1827718,-0.9337672
865506818943046,8.025609,-1.1827718,-0.9337672
865506820943212,7.127756,-1.4700848,-0.27294734
865506822944545,6.6417184,-1.3647367,0.5027977
865506824948245,5.7007685,-0.3040729,-1.6783867
865506826946411,5.559506,1.5323359,-4.0798445
865506828947744,6.203566,2.5475085,-6.445388
865506830949110,6.737489,4.249838,-4.3671575
865506832950443,6.5124273,4.1804037,-1.0127783
865506834951809,6.3304625,3.7159145,1.3479767
865506836953142,6.411868,2.3846977,1.1420691
865506838949708,6.4956675,2.083019,0.57462597
865506840950741,6.2969427,1.7286664,1.9872481
865506842952074,6.349617,0.72546524,3.727886
865506844953407,7.573091,-0.55786604,0.37111259
865506846954740,10.63058,-1.7789462,-3.9170337
865506848956073,12.277842,-2.578634,-2.5283542
865506850960206,14.799012,-4.0343533,1.3479767
865506852961572,15.191673,-4.5108137,4.417437
865506854962905,15.5436325,-5.1979704,8.595447
865506856964505,16.017698,-5.0830455,4.9393888
865506858965838,16.017698,-5.0830455,4.9393888
865506860965871,15.5125065,-3.7111259,-4.04393
865506862967504,13.350476,-2.142876,-5.375147
865506864966704,12.634588,-1.7214836,-6.471725
865506866968370,11.679273,-1.7957062,-6.8883286
865506868970003,12.014471,-2.3870919,-10.055954
865506870971669,11.794198,-2.5331428,-8.961771
865506872968102,10.618608,-1.9824595,-2.9401696
865506874969735,8.846846,-0.8547561,3.380716
865506876971401,6.9840994,0.6488485,5.1189594
865506878979767,6.3903193,1.2881198,3.7398572
865506880981400,6.529187,0.6943397,-3.9984388
865506882982766,6.3903193,0.8140534,-6.0886407
865506884981766,5.5379577,1.0774237,-4.168432
865506886983099,5.090228,1.6161355,-1.5275474
865506888984465,5.097411,2.0542877,-0.18196489
865506890985798,5.583449,2.2410412,1.5802214
865506892988798,7.74069,2.9066496,-3.8811195
865506894990098,8.504464,3.1939626,-3.5698638
865506896991431,11.195629,2.4972286,-3.459727
865506898992464,12.308967,2.1572416,-4.067873
865506900994130,12.835708,1.8435916,-2.099779
865506902995463,11.45421,1.3575538,5.8204823
865506904996763,11.269852,0.13886794,3.8452053
865506907000696,11.12859,-0.56744313,-0.27294734
865506909002029,11.533222,-1.0032011,-3.572258
865506911000562,11.521251,-1.0127783,-2.9665065
865506913001895,10.901134,-0.9074302,-1.2162915
865506915003461,10.73114,-1.1061549,0.12450229
865506917004794,11.207601,-1.8148603,0.043096945
865506919006460,11.648147,-2.403852,-0.42139238
865506921007793,11.882786,-2.813273,-0.031125572
865506923012059,11.626598,-2.3823035,0.55786604
865506925013392,10.89395,-2.1548474,2.248224
865506927014725,10.520444,-2.3128695,0.2561874
865506929016091,10.386364,-2.1476645,-1.1731946
865506931023824,9.670476,-2.317658,-0.43575802
865506933025157,8.573898,-2.3799093,1.2905141
865506935026523,8.245882,-2.0183737,0.47167215
865506937027856,7.3312693,-0.098165266,-0.5794145
865506939023156,7.269018,0.6703969,-1.7669748
865506941024522,7.676045,1.1731946,-4.9154463
865506943029988,8.083072,1.6975409,-7.6616793
865506945031321,7.448589,2.4277947,-4.7191157
865506947032687,6.7063637,3.2035396,-2.3631492
865506949034020,6.1628633,3.7111259,-1.5443072
865506951035353,4.913052,4.04393,-0.72785956
865506953035053,4.599402,3.3495905,-0.043096945
865506955036453,4.515602,1.7526091,-2.4349775
865506957037753,4.381523,0.19393626,-3.1269228
865506959039853,4.520391,-0.69912827,-2.5594797
865506961041186,4.5012364,-1.7813405,0.16041641
865506963044852,3.1700199,-0.90503585,0.29689008
865506965046252,2.52596,-0.038308397,-1.5395187
865506967045018,0.9864412,1.2186859,-6.5651016
865506969046351,1.0271438,0.5985687,-6.490879
865506971050751,2.0806248,-0.7972935,-8.078283
865506973052051,4.173221,-4.0367475,-9.864412
865506975053151,7.240287,-7.4414062,-8.004061
865506977054517,10.872402,-7.0080423,-6.517216
865506979056550,10.582695,-5.1429024,-4.522785
865506981057883,11.152532,-1.2067145,-1.4509305
865506983056249,11.911517,0.339987,-0.7733508
865506985057582,12.737542,1.132492,2.6744049
865506987058915,13.245129,-0.21548474,0.86912173
865506989060248,13.582721,-1.0486923,-1.786129
865506991055114,13.532441,-1.1396748,-4.946572
865506993056147,13.606664,-1.0989721,-1.4102279
865506995061580,13.47019,-1.0726352,2.1380875
865506997062913,13.209214,-0.08140534,4.520391
865506999064079,13.463007,0.53392327,4.9106574
865507001065412,13.862851,1.0965779,4.8124924
865507003062612,15.2132225,2.0614705,0.44294083
865507005063978,16.20924,2.7749646,2.2673783
865507007065311,16.958649,2.52596,6.737489
865507009066644,17.681719,2.0782306,7.3169036
865507011067677,19.16617,1.0606637,6.9888883
865507013069010,19.079975,1.0941836,7.336058
865507015070343,18.069592,1.8172545,9.490906
865507017071743,17.229202,2.5427198,7.0774765
865507019072643,17.20526,2.8731298,3.8284454
865507021073976,17.181316,2.901861,2.4062462
865507023073009,17.339338,2.3846977,2.779753
865507025074642,17.8996,1.4796618,6.423839
865507027075975,17.056814,0.81165916,11.815746
865507029077341,16.542046,0.45730647,11.633781
865507031075641,16.199663,0.009577099,5.7390766
865507033076674,15.589124,-0.27294734,1.2234744
865507035077974,14.573951,-0.117319465,1.1061549
865507037082174,11.547587,-0.4285752,4.4988422
865507039082507,11.547587,-0.4285752,4.4988422
865507041083873,10.810151,-0.44533512,3.265791
865507043088406,8.566715,0.16759923,1.6352897
865507045089739,6.936214,1.489239,-1.9010541
865507047095105,7.556331,2.1093562,-8.10462
865507049096438,7.1229677,2.063865,-8.669669
865507051097838,5.2697988,2.2194927,-4.7262983
865507053099504,4.4270144,2.2889266,-1.6831752
865507055101470,3.4022646,2.205127,0.87151605
865507057102803,3.519584,0.06943397,-3.581835
865507059104003,3.519584,0.06943397,-3.581835
865507061105336,4.1253357,-1.4676905,-3.964919
865507063107002,3.9601305,-0.31125572,-4.7262983
865507065108068,3.9146392,0.40463245,-4.233078
865507067109401,4.063084,0.30167863,0.8834874
865507069110767,4.122941,-0.35674694,3.2777622
865507071112433,4.5682764,-1.2737542,3.476487
865507073113766,6.1700463,-3.3639562,1.3096683
865507075114932,6.3280683,-4.209135,4.233078
865507077116265,6.1269493,-4.3839173,4.6903844
865507079117298,5.899493,-4.2115293,3.440573
865507081118664,5.7127395,-3.2873392,-0.50758624
865507083119997,5.480495,-2.935381,-0.8834874
865507085121730,7.26423,-2.0183737,-9.696813
865507087123096,9.165284,-0.86912173,-11.116618
865507089124862,10.570724,-1.0199611,-13.970593
865507091126195,13.929891,-2.6097596,-13.76708
865507093131561,15.46941,-4.338426,-6.4501762
865507095132961,15.637009,-3.8643596,-2.3056867
865507097131427,12.457412,-0.11013664,2.3224466
865507099132793,12.550789,1.3096683,-5.9713216
865507101133826,12.888381,2.3631492,-13.484556
865507103132026,11.674484,3.6464806,-15.71602
865507105133392,8.346442,3.100586,-1.7717633
865507107131425,5.6959796,1.9992194,6.4956675
865507109132858,4.7286925,1.3312168,5.90907
865507111133924,5.0926223,0.14365649,0.0047885496
865507113135257,5.7558365,0.4764607,-2.2673783
865507115131523,6.1556807,1.333611,-1.5059988
865507117132556,7.075082,2.1069617,-3.1939626
865507119133189,8.274613,2.4206119,-6.854809
865507121134222,10.134965,2.3032923,-6.859597
865507123134922,10.034406,2.0686533,-3.0359404
