timestamp[ns],latitude,longitude,altitude[m],bearing,speed[m/s]
865535458000000,48.0829756,11.6368486,592.0,293.90845,0.9657989
865535720446932,48.0829776,11.6368406,592.0,292.97452,0.9633753
865536436000000,48.0829796,11.636831,592.0,293.49673,0.9503844
865536723880354,48.0829814,11.6368231,592.0,292.84946,0.9483081
865537721108584,48.0829844,11.6368094,592.0,294.14075,0.98083663
865538262000000,48.0829856,11.6368022,592.0,293.57507,0.9711292
865538731026776,48.0829869,11.6367953,592.0,292.73746,0.96952033
865539279000000,48.082988,11.6367891,592.0,289.98846,0.90905607
865539737486121,48.082989,11.6367831,592.0,290.08627,0.90287876
865540297000000,48.0829896,11.6367761,592.0,290.15427,0.8804658
865540730558621,48.0829907,11.63677,592.0,289.49695,0.8776529
865541397000000,48.0829916,11.6367629,592.0,289.0081,0.9245609
865541750542235,48.0829928,11.6367559,592.0,289.2529,0.9314518
865542756000000,48.0829948,11.6367427,592.0,290.15533,0.9526968
865543283000000,48.0829955,11.6367358,592.0,289.79077,0.95373064
865543717000000,48.0829955,11.636727,592.0,289.5661,0.95860636
865544219000000,48.0829934,11.6367171,592.0,280.18454,0.3736886
865544734831003,48.0829921,11.6367081,592.0,283.41245,0.32618216
865545397000000,48.0829917,11.6367014,592.0,286.99542,0.4603679
865545755940079,48.082992,11.636694,592.0,292.11478,0.47818616
865546403000000,48.0829924,11.6366844,592.0,297.2871,0.5551059
865546756442193,48.0829935,11.6366776,592.0,301.1181,0.56376344
865547479000000,48.0829948,11.6366684,592.0,301.94977,0.6038225
865547745722231,48.0829965,11.6366616,592.0,302.5062,0.6083177
865548697000000,48.0829982,11.6366527,592.0,303.5731,0.623777
865549337000000,48.0830004,11.6366338,592.0,305.72842,0.6309237
865549769808037,48.0830012,11.6366245,592.0,299.92508,0.6980473
865550478000000,48.0830026,11.6366145,592.0,328.1074,0.62313825
865550761316614,48.0830052,11.6366091,592.0,336.48984,0.622601
865551577000000,48.0830082,11.6366034,592.0,341.0348,0.6246734
865552377000000,48.083014,11.6365986,592.0,347.8126,0.63826007
865552739372420,48.0830171,11.6365971,592.0,350.1553,0.64083916
865553304000000,48.0830205,11.6365959,592.0,352.06766,0.6567597
865553758000000,48.0830231,11.6365954,592.0,352.2617,0.6592135
865554256000000,48.083026,11.6365956,592.0,356.46063,0.6867907
865554750020957,48.0830296,11.6365959,592.0,357.234,0.6919202
865555377000000,48.0830341,11.6365972,592.0,357.73923,0.71049684
865555743569110,48.0830381,11.6365978,592.0,356.2757,0.713558
865556378000000,48.0830426,11.6365994,592.0,356.12198,0.7353942
865556785109917,48.0830469,11.6366,592.0,355.88257,0.73901093
865557357000000,48.083052,11.6366019,592.0,359.064,0.7627595
865557744806801,48.0830567,11.6366031,592.0,359.31277,0.7669649
865558361000000,48.0830622,11.6366058,592.0,3.4064903,0.7863232
865558768494877,48.0830675,11.6366085,592.0,5.6365466,0.78953326
865559758574376,48.0830759,11.6366132,592.0,9.559623,0.80729085
865560757230106,48.0830835,11.6366195,592.0,11.094935,0.8205401
865561520000000,48.0830874,11.636625,592.0,12.996465,0.82327753
865561750470683,48.0830915,11.6366283,592.0,13.784135,0.8234969
865562579000000,48.0830959,11.6366329,592.0,13.792683,0.8229022
865562750069220,48.0831,11.6366359,592.0,13.148549,0.8227649
865563374000000,48.0831047,11.6366399,592.0,14.972078,0.8223401
865563761355143,48.0831092,11.6366436,592.0,15.498995,0.82171065
865564317000000,48.0831126,11.6366462,592.0,15.851408,0.82444173
865564752967334,48.0831163,11.6366486,592.0,15.410762,0.8246654
865565638000000,48.0831205,11.6366516,592.0,15.800043,0.83054596
865566297000000,48.0831281,11.6366556,592.0,15.719124,0.83140105
865566739803410,48.0831321,11.6366583,592.0,15.315561,0.83150846
865567559000000,48.0831364,11.6366612,592.0,10.256974,0.819081
865568299000000,48.0831436,11.6366638,592.0,359.1156,0.80331206
865568853000000,48.0831471,11.6366638,592.0,346.73523,0.79213154
865569537000000,48.0831507,11.6366625,592.0,332.56143,0.79120785
865569998000000,48.0831543,11.6366592,592.0,322.0114,0.769259
865570746625907,48.0831574,11.636655,592.0,314.32993,0.7656763
865571456000000,48.0831616,11.6366456,592.0,303.28918,0.7572014
865572437000000,48.0831648,11.6366359,592.0,300.6035,0.7561443
865572918000000,48.0831661,11.6366294,592.0,299.5223,0.7609222
